year,value
2018,6914.1780318076
2017,6618.33508255701
2016,5651.20585165749
2015,6112.27382485974
2014,6856.73137092522
2013,7331.65467384919
2012,8076.97678479741
2011,8646.05571071635
2010,7973.47195771517
2009,6374.70560042992
2008,6184.75474328399
2007,6591.85535960564
2006,6077.38293388876
2005,5836.87663325127
2004,5221.46333731721
2003,4062.21755993786
2002,2688.23676032806
2001,2847.15191945908
2000,3217.84693448467
1999,3242.36830483958
1998,3309.60933087472
1997,3700.23554789867
1996,3617.55336002932
1995,3855.6340871567
1994,3488.59711541763
1993,3399.64009566241
1992,3462.39400202835
1991,3243.23616023953
1990,3093.48920352334
1989,2726.70980679488
1988,2702.05504774508
1987,2586.27423314228
1986,2027.4662038189
1985,1839.4841908184
1984,2504.07736790289
1983,2938.48980239675
1982,2717.16388710425
1981,3049.71474333882
1980,3028.97447561832
