year,temperature_K_mean,temperature_K_min,temperature_K_max,temperature_C_mean,temperature_C_min,temperature_C_max,precipitation_sum,precipitation_mean,wind_speed_mean,wind_speed_max,deaths,injuries,affected,disaster_count,Drought,Flood,Heatwave,Storm,population,population_growth,urban_pct,gdp,gdp_growth,heatwave_days,high_precip_days
1980,289.706,283.09,294.79,16.556,9.94,21.64,0.538,0.0,7.77,20.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29518857,,48.4000015258789,89411864402.4272,,0.0,838
1981,288.974,281.15,294.22,15.824,8.0,21.07,0.588,0.0,7.823,24.618,64.0,150.0,50000.0,1.0,0.0,1.0,0.0,0,30541044,3.4628271684096656,48.5049563806564,93141472163.7596,4.1712671872561335,0.0,805
1982,289.234,283.17,294.11,16.084,10.02,20.96,0.626,0.0,7.981,19.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31615339,3.5175451107696265,48.6334150579768,85904057409.3585,-7.770346104983616,0.0,928
1983,289.043,281.3,294.12,15.893,8.15,20.97,0.626,0.0,7.537,21.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32739304,3.5551255673709425,48.7893962316144,96204110941.5672,11.9901828188695,0.0,972
1984,289.388,281.75,295.04,16.238,8.6,21.89,0.605,0.0,7.958,24.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33892788,3.5232392234117116,48.9769185753438,84870163365.9306,-11.781146839474099,0.0,862
1985,289.634,282.26,294.92,16.484,9.11,21.77,0.562,0.0,7.954,20.624,250.0,0.0,2000000.0,1.0,1.0,0.0,0.0,0,35042093,3.3910016490823924,49.2000007629395,64459376086.6883,-24.049426170229093,0.0,873
1986,289.956,282.06,295.62,16.806,8.91,22.47,0.622,0.0,7.929,20.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36180515,3.248727180765143,49.5595109146059,73354771399.2627,13.800002191475457,0.0,910
1987,289.26,282.91,293.22,16.11,9.76,20.07,0.465,0.0,7.752,20.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37326190,3.1665524937939615,50.0986088197323,96535763418.3729,31.60120545252383,0.0,741
1988,289.33,281.12,294.41,16.18,7.97,21.26,0.586,0.0,8.441,24.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38480649,3.0928926847342275,50.7347506558709,103976831870.957,7.70809510288486,0.0,935
1989,289.634,281.97,294.82,16.484,8.82,21.67,0.571,0.0,7.685,25.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39628575,2.983125362568595,51.3853926005736,108055624081.806,3.922789469014676,0.0,903
1990,289.54,283.51,295.7,16.39,10.36,22.55,0.594,0.0,8.263,19.799,78.0,200.0,75000.0,1.0,0.0,1.0,0.0,0,40746268,2.820421879918711,51.9679908313922,126048140141.869,16.651161115354206,0.0,825
1991,289.317,281.3,295.38,16.167,8.15,22.23,0.46,0.0,7.361,20.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41687898,2.3109601105063104,52.4000015258789,135203698237.977,7.263540807348123,0.0,810
1992,289.373,281.32,295.96,16.223,8.17,22.81,0.651,0.0,8.47,22.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42443509,1.8125428151834377,52.6805094926402,146956150986.636,8.692404795002773,0.0,979
1993,289.674,283.25,294.62,16.524,10.1,21.47,0.572,0.0,7.513,22.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43297156,2.01125453599984,52.893505042748,147194747565.75,0.16235902853478645,0.0,876
1994,289.776,281.11,295.16,16.626,7.96,22.01,0.433,0.0,7.521,24.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44004139,1.6328624448220141,53.0838026074521,153512712381.836,4.292248820402955,0.0,726
1995,289.499,280.89,294.91,16.349,7.74,21.76,0.566,0.0,7.917,19.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44541554,1.2212828434161604,53.2962166180026,171735933897.331,11.870822443790786,0.0,891
1996,289.278,282.61,294.27,16.128,9.46,21.12,0.738,0.0,8.159,22.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45123018,1.3054416556728121,53.5749191516739,163234925380.563,-4.9500464601952014,0.0,997
1997,289.471,283.38,294.5,16.321,10.23,21.35,0.59,0.0,7.878,21.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45666838,1.20519420930576,54.0040163031993,168978057327.73,3.5183230143779554,0.0,914
1998,289.596,282.75,295.25,16.446,9.6,22.1,0.475,0.0,7.736,18.704,187.0,500.0,250000.0,1.0,0.0,1.0,0.0,0,46223880,1.2197954235412478,54.6562438276427,152982984557.233,-9.465769120232482,0.0,774
1999,289.913,281.09,295.42,16.763,7.94,22.27,0.486,0.0,7.813,20.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46730335,1.0956566173155435,55.4408521794673,151516957078.536,-0.9582944684600081,0.0,712
2000,289.995,280.14,294.77,16.845,6.99,21.62,0.412,0.0,7.961,20.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47159719,0.9188549579197236,56.2589954883628,151752757215.309,0.1556262357161442,0.0,692
2001,289.774,282.59,295.23,16.624,9.44,22.08,0.733,0.0,8.164,19.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47566800,0.8631964070863196,57.0014339378269,135429905922.526,-10.756213984055584,0.0,1022
2002,289.716,282.6,295.64,16.566,9.45,22.49,0.612,0.0,7.977,22.333,56.0,234.0,95000.0,1.0,0.0,1.0,0.0,0,48019415,0.9515355247777801,57.6723587528482,129087556612.449,-4.683123174954574,0.0,967
2003,289.749,277.67,295.14,16.599,4.52,21.99,0.468,0.0,7.653,19.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48500348,1.0015386484820699,58.3724341232066,197018965308.697,52.62428887719515,0.0,777
2004,289.848,283.46,294.54,16.698,10.31,21.39,0.535,0.0,7.099,18.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48991421,1.012514384432861,59.0977390950102,255806908594.573,29.838722984746546,0.0,695
2005,289.646,281.47,295.83,16.496,8.32,22.68,0.587,0.0,7.842,20.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49490033,1.0177537001835546,59.8241758378997,288867217196.534,12.923931094589047,0.0,807
2006,289.675,282.57,294.15,16.525,9.42,21.0,0.483,0.0,7.64,18.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49998277,1.0269623380529946,60.5276465215157,303858675363.643,5.189740224800032,0.0,853
2007,290.036,282.02,295.78,16.886,8.87,22.63,0.605,0.0,8.124,23.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50528584,1.0606505500179608,61.1840533154988,333077117253.684,9.615799797413672,0.0,1014
2008,289.818,280.03,294.41,16.668,6.88,21.26,0.74,0.0,8.17,21.354,89.0,320.0,180000.0,1.0,0.0,1.0,0.0,0,51114599,1.1597692901902823,61.7692983894896,316131258616.309,-5.087668218428942,0.0,1186
